[file name]: ru.txt
[file content begin]
# Файл русского языка
# каждая запись должна содержать номер строки, пробел, строку, символ решётки
# строки, начинающиеся с решётки, являются комментариями
# пустые строки игнорируются

1 null#

# названия классов

1900 варвар#
1901 воин#
1902 целитель#
1903 плут#
1904 странник#
1905 клирик#
1906 торговец#
1907 волшебник#
1908 арканист#
1909 шут#


# описания классов

10 УСТАРЕЛО#
11 УСТАРЕЛО#
12 УСТАРЕЛО#
13 УСТАРЕЛО#
14 УСТАРЕЛО#
15 УСТАРЕЛО#
16 УСТАРЕЛО#
17 УСТАРЕЛО#
18 УСТАРЕЛО#
19 УСТАРЕЛО#


# названия внешности

20 стражзем#
21 северорожд#
22 огнезнам#
23 твердокров#
24 высокодозор#
25 мрачнокузнь#
26 пламноцвет#
27 змеекам#
28 ветроклан#
29 военокров#
30 мельнокруг#
31 солнцелов#
32 глинодив#
33 штормоберег#
34 торгпад#
35 ночехолм#
36 башеннозалив#
37 остриепеснь#


# описания внешности

38 УСТАРЕЛО#
39 УСТАРЕЛО#
40 УСТАРЕЛО#
41 УСТАРЕЛО#
42 УСТАРЕЛО#
43 УСТАРЕЛО#
44 УСТАРЕЛО#
45 УСТАРЕЛО#
46 УСТАРЕЛО#
47 УСТАРЕЛО#
48 УСТАРЕЛО#
49 УСТАРЕЛО#
50 УСТАРЕЛО#
51 УСТАРЕЛО#
52 УСТАРЕЛО#
53 УСТАРЕЛО#
54 УСТАРЕЛО#
55 УСТАРЕЛО#


# титры

56 УСТАРЕЛО#
57 УСТАРЕЛО#
58 УСТАРЕЛО#
59 УСТАРЕЛО#
60 УСТАРЕЛО#
61 УСТАРЕЛО#
62 УСТАРЕЛО#
63 УСТАРЕЛО#
64 УСТАРЕЛО#
65 УСТАРЕЛО#


#

66 УСТАРЕЛО#
67 УСТАРЕЛО#
68 УСТАРЕЛО#
69 УСТАРЕЛО#


# субтитры барона Херкса

70 "Удачи, смертный."#
71 "Всего хорошего, человек."#
72 "Что ж, удачи, человек."#
73 "Ха-ха-ха-ха-ха!"#
74 "Мой минотавр голоден!"#
75 "Мой питомец жаждет человеческой плоти..."#
76 "Минотавр приближается..."#
77 "Хмм... очередной смертный у моего порога..."#
78 "Ах, ещё один вступает в бой..."#
79 "Хмм... кто-то новый..."#
80 "Тебе лучше не задерживаться здесь надолго, смертный."#
81 "Какая жалость, если ты будешь здесь, когда Он явится..."#
82 "Тебе было бы мудро покинуть это место, смертный."#
83 "Хмм... этот ещё жив."#
84 "Хмм, значит, ты зашёл так далеко..."#
85 "Чего ты надеешься достичь здесь, внизу, смертный?"#
86 "Ты ничего не знаешь о силе, что я здесь обрёл..."#
87 "Встреть меня, если посмеешь, смертный. Ты не выживешь."#
88 "Встреть меня в моём логове, смертный, и я покажу тебе, что такое боль."#
89 "Добро пожаловать в твою погибель, смертный!"#


# имена монстров

90 ничего#
91 человек#
92 крыса#
93 гоблин#
94 слизень#
95 тролль#
96 летучая мышь#
97 паук#
98 гуль#
99 скелет#
100 скорпион#
101 бес#
102 краб#
103 гном#
104 демон#
105 суккуб#
106 мимик#
107 лич#
108 минотавр#
109 дьявол#
110 лавочник#


# имена монстров (множественное число)

111 ничего#
112 люди#
113 крысы#
114 гоблины#
115 слизни#
116 тролли#
117 летучие мыши#
118 пауки#
119 гули#
120 скелеты#
121 скорпионы#
122 бесы#
123 крабы#
124 гномы#
125 демоны#
126 суккубы#
127 мимики#
128 личи#
129 минотавры#
130 дьяволы#
131 лавочники#


# типы ранений

132 ударяет#
133 ударяет#
134 кусает#
135 ударяет#
136 ослизняет вас#
137 дубасит вас#
138 кусает#
139 кусает#
140 ударяет#
141 ударяет#
142 жалит#
143 царапает#
144 щипает#
145 поражает#
146 терзает вас#
147 шлёпает вас#
148 кусает#
149 ударяет#
150 дробит вас#
151 дробит вас#
152 ударяет#


# серверные флаги

153 Читы#
154 Свой урон#
155 Минотавры#
156 Голод#
157 Ловушки#


# имена лавочников

158 Адриан#
159 Боб#
160 Кармак#
161 Дерек#
162 Ошибка#
163 Феликс#
164 Джефф#
165 Гарольд#
166 Изчак#
167 Джесси#
168 Кен#
169 Люк#
170 Марти#
171 Нориан#
172 Оливер#
173 Питер#
174 Квентин#
175 Ромеро#
176 Сидни#
177 Том#
178 Ульф#
179 Верн#
180 Уоллес#
181 Ксавьер#
182 Йоши#
183 Зеб#


# названия магазинов

184 Оружие и броня#
185 Магазин шляп#
186 Ювелирный магазин#
187 Книжный магазин#
188 Магазин зелий#
189 Тонкие посохи#
190 Деликатесы#
191 Скобяная лавка#
192 Охотничьи товары#
193 Универсальный магазин#


# фразы лавочников

194 Приветствую!#
195 Здравствуй!#
192 Добрый день!#


# лавочник продаёт предмет по нечестной цене

197 Ты получил хорошую
цену за это!#
198 Отличный выбор!#
199 Это была настоящая выгода!#


# лавочник продаёт предмет по честной цене

200 Это честная сделка.#
201 Пожалуй, я могу расстаться
с этим.#
202 Хорошо, но ни пенни
меньше!#


# лавочник отказывается продавать

203 Нет денег — нет товара!#
204 Я не продам это ни за что
меньшее.#
205 У тебя недостаточно
денег!#


# лавочник покупает предмет по нечестной цене

206 Я с радостью куплю это!#
207 Я куплю это у тебя!#
208 Я куплю это!#


# лавочник покупает предмет по честной цене

209 Пожалуй, я куплю это.#
210 Я обменяю это у тебя.#
211 Я куплю это у тебя.#


# лавочник отказывается покупать предмет

212 Я не торгую этим.#
213 Я не заинтересован в этом.#
214 Нет! Мне это не нужно.#


# лавочник делает предложение купить предмет

